# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
chu wai 	除外	c=1 d=0.0262523 t=2227
chu xian 	出現	c=3 d=0.0378259 t=2227
chu ye 	初夜	c=1 d=0.044601 t=2227
chu yu 	處於	c=1 d=0.0167392 t=2227
chuan guo 	穿過	c=3 d=0.330218 t=2227
chuang jian 	創建	c=1 d=0.609571 t=2227
chui 	吹	c=1 d=0.694197 t=2227
ci 	刺	c=2 d=0.102389 t=2227
ci 	此	c=1 d=0.327915 t=2227
ci 	詞	c=5 d=1.63417 t=2227
cong 	從	c=4 d=0.649962 t=2227
cong ju 	從句	c=1 d=0.0155297 t=2227
cong tou 	從頭	c=1 d=0.00283702 t=2227
cu su 	粗俗	c=2 d=0.0870095 t=2227
cu ye 	粗野	c=1 d=0.0448245 t=2227
cun 	存	c=1 d=0.496585 t=2227
cun 	村	c=1 d=0.494109 t=2227
cuo jue 	錯覺	c=1 d=0.965605 t=2227
da 	打	c=1 d=0.0141585 t=2227
da duo shu 	大多數	c=1 d=0.0193512 t=2227
da fang 	大方	c=1 d=0.486752 t=2227
da gai 	大概	c=1 d=0.268474 t=2227
da ha qian 	打哈欠	c=1 d=0.238115 t=2227
da huo ji 	打火機	c=5 d=0.0124816 t=2227
da jie 	打劫	c=1 d=0.83527 t=2227
da jing xiao guai 	大驚小怪	c=3 d=0.0512489 t=2227
da lao yin 	打烙印	c=1 d=0.00246639 t=2227
da lei 	打雷	c=1 d=0.0413782 t=2227
da li 	大力	c=1 d=0.882497 t=2227
da liang 	大量	c=1 d=0.33454 t=2227
da qi ceng 	大氣層	c=3 d=0.131383 t=2227
da qi ya 	大氣壓	c=1 d=0.044601 t=2227
da sheng 	大聲	c=1 d=0.0417941 t=2227
da shu 	大數	c=1 d=0.117068 t=2227
da shu ju 	打數據	c=1 d=0.116484 t=2227
da zhong 	大衆	c=3 d=0.127923 t=2227
da zi 	打字	c=1 d=0.118245 t=2227
da zi ran 	大自然	c=1 d=0.909373 t=2227
dai ci 	代詞	c=2 d=0.0304448 t=2227
dai ma 	代碼	c=1 d=0.11313 t=2227
dai ma bu quan 	代碼補全	c=1 d=0.124307 t=2227
dai tu 	歹徒	c=1 d=0.748264 t=2227
dan shi 	但是	c=3 d=0.0611095 t=2227
dang pai 	黨派	c=1 d=0.157237 t=2227
dao 	到	c=6 d=0.865022 t=2227
dao chu 	到處	c=3 d=0.570946 t=2227
dao li 	道理	c=1 d=0.0490458 t=2227
dao ru 	導入	c=1 d=0.115325 t=2227
